float_val,fixed_val,float_sine,fixed_sine,scaled_float,fixed_err
0.014381,150,0.014381,402,471,69.222290
0.014477,151,0.014476,402,474,72.363525
0.014573,152,0.014572,402,478,75.504791
0.014669,153,0.014668,402,481,78.646057
0.014765,154,0.014764,402,484,81.787292
0.014860,155,0.014860,402,487,84.928558
0.014956,156,0.014956,402,490,88.069794
0.015052,157,0.015052,402,493,91.211029
0.015148,158,0.015147,402,496,94.352264
0.015244,159,0.015243,402,499,97.493469
0.015340,160,0.015339,402,503,100.634705
0.015436,161,0.015435,402,506,103.775940
0.015532,162,0.015531,402,509,106.917145
0.015627,163,0.015627,402,512,110.058350
0.015723,164,0.015723,402,515,113.199524
0.015819,165,0.015819,402,518,116.340759
0.015915,166,0.015914,402,521,119.481934
0.016011,167,0.016010,402,525,122.623169
0.016107,168,0.016106,402,528,125.764282
0.016203,169,0.016202,402,531,128.905457
0.016299,170,0.016298,402,534,132.046692
0.016394,171,0.016394,402,537,135.187866
0.016490,172,0.016490,402,540,138.329041
0.016586,173,0.016585,402,543,141.470215
0.016682,174,0.016681,402,547,144.611328
0.016778,175,0.016777,402,550,147.752441
0.016874,176,0.016873,402,553,150.893616
0.016970,177,0.016969,402,556,154.034790
0.017066,178,0.017065,402,559,157.175903
0.017161,179,0.017161,402,562,160.317017
0.017257,180,0.017256,402,565,163.458130
0.017353,181,0.017352,402,569,166.599243
0.017449,182,0.017448,402,572,169.740417
0.017545,183,0.017544,402,575,172.881531
0.017641,184,0.017640,402,578,176.022644
0.017737,185,0.017736,402,581,179.163696
0.017833,186,0.017832,402,584,182.304810
0.017928,187,0.017927,402,587,185.445862
0.018024,188,0.018023,402,591,188.586975
0.018120,189,0.018119,402,594,191.728088
0.018216,190,0.018215,402,597,194.869080
0.018312,191,0.018311,402,600,198.010193
0.018408,192,0.018407,603,603,0.151245
0.018504,193,0.018503,603,606,3.292297
0.018600,194,0.018598,603,609,6.433350
0.018695,195,0.018694,603,613,9.574341
0.018791,196,0.018790,603,616,12.715393
0.018887,197,0.018886,603,619,15.856445
0.018983,198,0.018982,603,622,18.997498
0.019079,199,0.019078,603,625,22.138550
0.019175,200,0.019174,603,628,25.279480
0.019271,201,0.019269,603,631,28.420532
0.019366,202,0.019365,603,635,31.561523
0.019462,203,0.019461,603,638,34.702515
0.019558,204,0.019557,603,641,37.843567
0.019654,205,0.019653,603,644,40.984558
0.019750,206,0.019749,603,647,44.125488
0.019846,207,0.019845,603,650,47.266479
0.019942,208,0.019940,603,653,50.407410
0.020038,209,0.020036,603,657,53.548401
0.020133,210,0.020132,603,660,56.689392
0.020229,211,0.020228,603,663,59.830261
0.020325,212,0.020324,603,666,62.971252
0.020421,213,0.020420,603,669,66.112183
0.020517,214,0.020516,603,672,69.253113
0.020613,215,0.020611,603,675,72.394043
0.020709,216,0.020707,603,679,75.534973
0.020805,217,0.020803,603,682,78.675842
0.020900,218,0.020899,603,685,81.816772
0.020996,219,0.020995,603,688,84.957703
0.021092,220,0.021091,603,691,88.098572
0.021188,221,0.021187,603,694,91.239502
0.021284,222,0.021282,603,697,94.380310
0.021380,223,0.021378,603,701,97.521240
0.021476,224,0.021474,603,704,100.662109
0.021572,225,0.021570,603,707,103.802979
0.021667,226,0.021666,603,710,106.943848
0.021763,227,0.021762,603,713,110.084656
0.021859,228,0.021857,603,716,113.225464
0.021955,229,0.021953,603,719,116.366333
0.022051,230,0.022049,603,723,119.507202
0.022147,231,0.022145,603,726,122.648010
0.022243,232,0.022241,603,729,125.788757
0.022339,233,0.022337,603,732,128.929626
0.022434,234,0.022433,603,735,132.070435
0.022530,235,0.022528,603,738,135.211243
0.022626,236,0.022624,603,741,138.352051
0.022722,237,0.022720,603,744,141.492798
0.022818,238,0.022816,603,748,144.633545
0.022914,239,0.022912,603,751,147.774353
0.023010,240,0.023008,603,754,150.915100
0.023106,241,0.023104,603,757,154.055847
0.023201,242,0.023199,603,760,157.196594
0.023297,243,0.023295,603,763,160.337341
0.023393,244,0.023391,603,766,163.478088
0.023489,245,0.023487,603,770,166.618774
0.023585,246,0.023583,603,773,169.759521
0.023681,247,0.023679,603,776,172.900269
0.023777,248,0.023774,603,779,176.040955
0.023873,249,0.023870,603,782,179.181641
0.023968,250,0.023966,603,785,182.322327
0.024064,251,0.024062,603,788,185.463013
0.024160,252,0.024158,603,792,188.603699
0.024256,253,0.024254,603,795,191.744385
0.024352,254,0.024350,603,798,194.885010
0.024448,255,0.024445,603,801,198.025696
0.024544,256,0.024541,804,804,0.166321
0.024640,257,0.024637,804,807,3.307007
0.024735,258,0.024733,804,810,6.447632
0.024831,259,0.024829,804,814,9.588196
0.024927,260,0.024925,804,817,12.728821
0.025023,261,0.025020,804,820,15.869446
0.025119,262,0.025116,804,823,19.010071
0.025215,263,0.025212,804,826,22.150696
0.025311,264,0.025308,804,829,25.291199
0.025407,265,0.025404,804,832,28.431824
0.025502,266,0.025500,804,836,31.572388
0.025598,267,0.025595,804,839,34.712952
0.025694,268,0.025691,804,842,37.853516
0.025790,269,0.025787,804,845,40.994080
0.025886,270,0.025883,804,848,44.134583
0.025982,271,0.025979,804,851,47.275146
0.026078,272,0.026075,804,854,50.415649
0.026174,273,0.026171,804,858,53.556213
0.026269,274,0.026266,804,861,56.696716
0.026365,275,0.026362,804,864,59.837158
0.026461,276,0.026458,804,867,62.977661
0.026557,277,0.026554,804,870,66.118164
0.026653,278,0.026650,804,873,69.258667
0.026749,279,0.026746,804,876,72.399170
0.026845,280,0.026841,804,880,75.539612
0.026941,281,0.026937,804,883,78.679993
0.027036,282,0.027033,804,886,81.820496
0.027132,283,0.027129,804,889,84.960938
0.027228,284,0.027225,804,892,88.101379
0.027324,285,0.027321,804,895,91.241821
0.027420,286,0.027416,804,898,94.382141
0.027516,287,0.027512,804,902,97.522583
0.027612,288,0.027608,804,905,100.662964
0.027708,289,0.027704,804,908,103.803406
0.027803,290,0.027800,804,911,106.943787
0.027899,291,0.027896,804,914,110.084106
0.027995,292,0.027991,804,917,113.224487
0.028091,293,0.028087,804,920,116.364868
0.028187,294,0.028183,804,924,119.505188
0.028283,295,0.028279,804,927,122.645569
0.028379,296,0.028375,804,930,125.785828
0.028474,297,0.028471,804,933,128.926147
0.028570,298,0.028566,804,936,132.066467
0.028666,299,0.028662,804,939,135.206787
0.028762,300,0.028758,804,942,138.347107
0.028858,301,0.028854,804,945,141.487427
0.028954,302,0.028950,804,949,144.627625
0.029050,303,0.029046,804,952,147.767944
0.029146,304,0.029141,804,955,150.908203
0.029241,305,0.029237,804,958,154.048462
0.029337,306,0.029333,804,961,157.188721
0.029433,307,0.029429,804,964,160.328918
0.029529,308,0.029525,804,967,163.469116
0.029625,309,0.029621,804,971,166.609375
0.029721,310,0.029716,804,974,169.749573
0.029817,311,0.029812,804,977,172.889771
