float_val,fixed_val,float_div,fixed_div,scaled_float,fixed_err
-0.996796,-32663,-0.752411,-24655,-24655,-0.003906
-0.996765,-32662,-0.752434,-24655,-24656,-0.757813
-0.996735,-32661,-0.752457,-24656,-24657,-0.513672
-0.996704,-32660,-0.752480,-24657,-24657,-0.267578
-0.996674,-32659,-0.752503,-24658,-24658,-0.023438
-0.996643,-32658,-0.752526,-24658,-24659,-0.777344
-0.996613,-32657,-0.752549,-24659,-24660,-0.533203
-0.996582,-32656,-0.752572,-24660,-24660,-0.289063
-0.996552,-32655,-0.752595,-24661,-24661,-0.042969
-0.996521,-32654,-0.752618,-24661,-24662,-0.798828
-0.996490,-32653,-0.752641,-24662,-24663,-0.554688
-0.996460,-32652,-0.752664,-24663,-24663,-0.308594
-0.996429,-32651,-0.752688,-24664,-24664,-0.064453
-0.996399,-32650,-0.752711,-24664,-24665,-0.820313
-0.996368,-32649,-0.752734,-24665,-24666,-0.576172
-0.996338,-32648,-0.752757,-24666,-24666,-0.330078
-0.996307,-32647,-0.752780,-24667,-24667,-0.085938
-0.996277,-32646,-0.752803,-24667,-24668,-0.841797
-0.996246,-32645,-0.752826,-24668,-24669,-0.597656
-0.996216,-32644,-0.752849,-24669,-24669,-0.353516
-0.996185,-32643,-0.752872,-24670,-24670,-0.109375
-0.996155,-32642,-0.752895,-24670,-24671,-0.865234
-0.996124,-32641,-0.752918,-24671,-24672,-0.621094
-0.996094,-32640,-0.752941,-24672,-24672,-0.376953
-0.996063,-32639,-0.752964,-24673,-24673,-0.132813
-0.996033,-32638,-0.752987,-24673,-24674,-0.888672
-0.996002,-32637,-0.753010,-24674,-24675,-0.644531
-0.995972,-32636,-0.753033,-24675,-24675,-0.400391
-0.995941,-32635,-0.753057,-24676,-24676,-0.156250
-0.995911,-32634,-0.753080,-24676,-24677,-0.912109
-0.995880,-32633,-0.753103,-24677,-24678,-0.667969
-0.995850,-32632,-0.753126,-24678,-24678,-0.425781
-0.995819,-32631,-0.753149,-24679,-24679,-0.181641
-0.995789,-32630,-0.753172,-24679,-24680,-0.937500
-0.995758,-32629,-0.753195,-24680,-24681,-0.693359
-0.995728,-32628,-0.753218,-24681,-24681,-0.451172
-0.995697,-32627,-0.753241,-24682,-24682,-0.207031
-0.995667,-32626,-0.753264,-24682,-24683,-0.962891
-0.995636,-32625,-0.753287,-24683,-24684,-0.720703
-0.995605,-32624,-0.753310,-24684,-24684,-0.476563
-0.995575,-32623,-0.753334,-24685,-24685,-0.232422
-0.995544,-32622,-0.753357,-24685,-24686,-0.990234
-0.995514,-32621,-0.753380,-24686,-24687,-0.746094
-0.995483,-32620,-0.753403,-24687,-24688,-0.503906
-0.995453,-32619,-0.753426,-24688,-24688,-0.259766
-0.995422,-32618,-0.753449,-24689,-24689,-0.017578
-0.995392,-32617,-0.753472,-24689,-24690,-0.773438
-0.995361,-32616,-0.753495,-24690,-24691,-0.531250
-0.995331,-32615,-0.753518,-24691,-24691,-0.289063
-0.995300,-32614,-0.753541,-24692,-24692,-0.044922
-0.995270,-32613,-0.753565,-24692,-24693,-0.802734
-0.995239,-32612,-0.753588,-24693,-24694,-0.560547
-0.995209,-32611,-0.753611,-24694,-24694,-0.316406
-0.995178,-32610,-0.753634,-24695,-24695,-0.074219
-0.995148,-32609,-0.753657,-24695,-24696,-0.832031
-0.995117,-32608,-0.753680,-24696,-24697,-0.587891
-0.995087,-32607,-0.753703,-24697,-24697,-0.345703
-0.995056,-32606,-0.753726,-24698,-24698,-0.103516
-0.995026,-32605,-0.753749,-24698,-24699,-0.861328
-0.994995,-32604,-0.753773,-24699,-24700,-0.619141
-0.994965,-32603,-0.753796,-24700,-24700,-0.376953
-0.994934,-32602,-0.753819,-24701,-24701,-0.134766
-0.994904,-32601,-0.753842,-24701,-24702,-0.890625
-0.994873,-32600,-0.753865,-24702,-24703,-0.648438
-0.994843,-32599,-0.753888,-24703,-24703,-0.406250
-0.994812,-32598,-0.753911,-24704,-24704,-0.164063
-0.994781,-32597,-0.753934,-24704,-24705,-0.921875
-0.994751,-32596,-0.753958,-24705,-24706,-0.681641
-0.994720,-32595,-0.753981,-24706,-24706,-0.439453
-0.994690,-32594,-0.754004,-24707,-24707,-0.197266
-0.994659,-32593,-0.754027,-24707,-24708,-0.955078
-0.994629,-32592,-0.754050,-24708,-24709,-0.712891
-0.994598,-32591,-0.754073,-24709,-24709,-0.470703
-0.994568,-32590,-0.754096,-24710,-24710,-0.228516
-0.994537,-32589,-0.754120,-24710,-24711,-0.988281
-0.994507,-32588,-0.754143,-24711,-24712,-0.746094
-0.994476,-32587,-0.754166,-24712,-24713,-0.503906
-0.994446,-32586,-0.754189,-24713,-24713,-0.261719
-0.994415,-32585,-0.754212,-24714,-24714,-0.021484
-0.994385,-32584,-0.754235,-24714,-24715,-0.779297
-0.994354,-32583,-0.754258,-24715,-24716,-0.537109
-0.994324,-32582,-0.754282,-24716,-24716,-0.296875
-0.994293,-32581,-0.754305,-24717,-24717,-0.054688
-0.994263,-32580,-0.754328,-24717,-24718,-0.814453
-0.994232,-32579,-0.754351,-24718,-24719,-0.572266
-0.994202,-32578,-0.754374,-24719,-24719,-0.332031
-0.994171,-32577,-0.754397,-24720,-24720,-0.089844
-0.994141,-32576,-0.754420,-24720,-24721,-0.849609
-0.994110,-32575,-0.754444,-24721,-24722,-0.607422
-0.994080,-32574,-0.754467,-24722,-24722,-0.367188
-0.994049,-32573,-0.754490,-24723,-24723,-0.125000
-0.994019,-32572,-0.754513,-24723,-24724,-0.884766
-0.993988,-32571,-0.754536,-24724,-24725,-0.644531
-0.993958,-32570,-0.754559,-24725,-24725,-0.402344
-0.993927,-32569,-0.754583,-24726,-24726,-0.162109
-0.993896,-32568,-0.754606,-24726,-24727,-0.921875
-0.993866,-32567,-0.754629,-24727,-24728,-0.679688
-0.993835,-32566,-0.754652,-24728,-24728,-0.439453
-0.993805,-32565,-0.754675,-24729,-24729,-0.199219
-0.993774,-32564,-0.754698,-24729,-24730,-0.958984
-0.993744,-32563,-0.754722,-24730,-24731,-0.718750
-0.993713,-32562,-0.754745,-24731,-24731,-0.476563
-0.993683,-32561,-0.754768,-24732,-24732,-0.236328
-0.993652,-32560,-0.754791,-24732,-24733,-0.996094
-0.993622,-32559,-0.754814,-24733,-24734,-0.755859
-0.993591,-32558,-0.754838,-24734,-24735,-0.515625
-0.993561,-32557,-0.754861,-24735,-24735,-0.275391
-0.993530,-32556,-0.754884,-24736,-24736,-0.035156
-0.993500,-32555,-0.754907,-24736,-24737,-0.794922
-0.993469,-32554,-0.754930,-24737,-24738,-0.554688
-0.993439,-32553,-0.754953,-24738,-24738,-0.314453
-0.993408,-32552,-0.754977,-24739,-24739,-0.074219
-0.993378,-32551,-0.755000,-24739,-24740,-0.835938
-0.993347,-32550,-0.755023,-24740,-24741,-0.595703
-0.993317,-32549,-0.755046,-24741,-24741,-0.355469
-0.993286,-32548,-0.755069,-24742,-24742,-0.115234
-0.993256,-32547,-0.755093,-24742,-24743,-0.875000
-0.993225,-32546,-0.755116,-24743,-24744,-0.634766
-0.993195,-32545,-0.755139,-24744,-24744,-0.396484
-0.993164,-32544,-0.755162,-24745,-24745,-0.156250
-0.993134,-32543,-0.755185,-24745,-24746,-0.916016
-0.993103,-32542,-0.755209,-24746,-24747,-0.677734
-0.993073,-32541,-0.755232,-24747,-24747,-0.437500
-0.993042,-32540,-0.755255,-24748,-24748,-0.197266
-0.993011,-32539,-0.755278,-24748,-24749,-0.958984
-0.992981,-32538,-0.755301,-24749,-24750,-0.718750
-0.992950,-32537,-0.755325,-24750,-24750,-0.480469
-0.992920,-32536,-0.755348,-24751,-24751,-0.240234
-0.992889,-32535,-0.755371,-24752,-24752,-0.001953
-0.992859,-32534,-0.755394,-24752,-24753,-0.761719
-0.992828,-32533,-0.755418,-24753,-24754,-0.523438
-0.992798,-32532,-0.755441,-24754,-24754,-0.283203
-0.992767,-32531,-0.755464,-24755,-24755,-0.044922
-0.992737,-32530,-0.755487,-24755,-24756,-0.806641
-0.992706,-32529,-0.755510,-24756,-24757,-0.566406
-0.992676,-32528,-0.755534,-24757,-24757,-0.328125
-0.992645,-32527,-0.755557,-24758,-24758,-0.089844
-0.992615,-32526,-0.755580,-24758,-24759,-0.849609
-0.992584,-32525,-0.755603,-24759,-24760,-0.611328
-0.992554,-32524,-0.755627,-24760,-24760,-0.373047
-0.992523,-32523,-0.755650,-24761,-24761,-0.134766
-0.992493,-32522,-0.755673,-24761,-24762,-0.896484
-0.992462,-32521,-0.755696,-24762,-24763,-0.656250
-0.992432,-32520,-0.755720,-24763,-24763,-0.417969
-0.992401,-32519,-0.755743,-24764,-24764,-0.179688
-0.992371,-32518,-0.755766,-24764,-24765,-0.941406
