float_val,fixed_val,float_mul,fixed_mul,scaled_float,fixed_err
-0.448669,-14702,0.014021,459,459,0.437500
-0.448639,-14701,0.014020,459,459,0.406250
-0.448608,-14700,0.014019,459,459,0.375000
-0.448578,-14699,0.014018,459,459,0.343750
-0.448547,-14698,0.014017,459,459,0.312500
-0.448517,-14697,0.014016,459,459,0.281250
-0.448486,-14696,0.014015,459,459,0.250000
-0.448456,-14695,0.014014,459,459,0.218750
-0.448425,-14694,0.014013,459,459,0.187500
-0.448395,-14693,0.014012,459,459,0.156250
-0.448364,-14692,0.014011,459,459,0.125000
-0.448334,-14691,0.014010,459,459,0.093750
-0.448303,-14690,0.014009,459,459,0.062500
-0.448273,-14689,0.014009,459,459,0.031250
-0.448242,-14688,0.014008,459,459,0.000000
-0.448212,-14687,0.014007,458,459,0.968750
-0.448181,-14686,0.014006,458,459,0.937500
-0.448151,-14685,0.014005,458,459,0.906250
-0.448120,-14684,0.014004,458,459,0.875000
-0.448090,-14683,0.014003,458,459,0.843750
-0.448059,-14682,0.014002,458,459,0.812500
-0.448029,-14681,0.014001,458,459,0.781250
-0.447998,-14680,0.014000,458,459,0.750000
-0.447968,-14679,0.013999,458,459,0.718750
-0.447937,-14678,0.013998,458,459,0.687500
-0.447906,-14677,0.013997,458,459,0.656250
-0.447876,-14676,0.013996,458,459,0.625000
-0.447845,-14675,0.013995,458,459,0.593750
-0.447815,-14674,0.013994,458,459,0.562500
-0.447784,-14673,0.013993,458,459,0.531250
-0.447754,-14672,0.013992,458,459,0.500000
-0.447723,-14671,0.013991,458,458,0.468750
-0.447693,-14670,0.013990,458,458,0.437500
-0.447662,-14669,0.013989,458,458,0.406250
-0.447632,-14668,0.013988,458,458,0.375000
-0.447601,-14667,0.013988,458,458,0.343750
-0.447571,-14666,0.013987,458,458,0.312500
-0.447540,-14665,0.013986,458,458,0.281250
-0.447510,-14664,0.013985,458,458,0.250000
-0.447479,-14663,0.013984,458,458,0.218750
-0.447449,-14662,0.013983,458,458,0.187500
-0.447418,-14661,0.013982,458,458,0.156250
-0.447388,-14660,0.013981,458,458,0.125000
-0.447357,-14659,0.013980,458,458,0.093750
-0.447327,-14658,0.013979,458,458,0.062500
-0.447296,-14657,0.013978,458,458,0.031250
-0.447266,-14656,0.013977,458,458,0.000000
-0.447235,-14655,0.013976,457,458,0.968750
-0.447205,-14654,0.013975,457,458,0.937500
-0.447174,-14653,0.013974,457,458,0.906250
-0.447144,-14652,0.013973,457,458,0.875000
-0.447113,-14651,0.013972,457,458,0.843750
-0.447083,-14650,0.013971,457,458,0.812500
-0.447052,-14649,0.013970,457,458,0.781250
-0.447021,-14648,0.013969,457,458,0.750000
-0.446991,-14647,0.013968,457,458,0.718750
-0.446960,-14646,0.013968,457,458,0.687500
-0.446930,-14645,0.013967,457,458,0.656250
-0.446899,-14644,0.013966,457,458,0.625000
-0.446869,-14643,0.013965,457,458,0.593750
-0.446838,-14642,0.013964,457,458,0.562500
-0.446808,-14641,0.013963,457,458,0.531250
-0.446777,-14640,0.013962,457,458,0.500000
-0.446747,-14639,0.013961,457,457,0.468750
-0.446716,-14638,0.013960,457,457,0.437500
-0.446686,-14637,0.013959,457,457,0.406250
-0.446655,-14636,0.013958,457,457,0.375000
-0.446625,-14635,0.013957,457,457,0.343750
-0.446594,-14634,0.013956,457,457,0.312500
-0.446564,-14633,0.013955,457,457,0.281250
-0.446533,-14632,0.013954,457,457,0.250000
-0.446503,-14631,0.013953,457,457,0.218750
-0.446472,-14630,0.013952,457,457,0.187500
-0.446442,-14629,0.013951,457,457,0.156250
-0.446411,-14628,0.013950,457,457,0.125000
-0.446381,-14627,0.013949,457,457,0.093750
-0.446350,-14626,0.013948,457,457,0.062500
-0.446320,-14625,0.013947,457,457,0.031250
-0.446289,-14624,0.013947,457,457,0.000000
-0.446259,-14623,0.013946,456,457,0.968750
-0.446228,-14622,0.013945,456,457,0.937500
-0.446198,-14621,0.013944,456,457,0.906250
-0.446167,-14620,0.013943,456,457,0.875000
-0.446136,-14619,0.013942,456,457,0.843750
-0.446106,-14618,0.013941,456,457,0.812500
-0.446075,-14617,0.013940,456,457,0.781250
-0.446045,-14616,0.013939,456,457,0.750000
-0.446014,-14615,0.013938,456,457,0.718750
-0.445984,-14614,0.013937,456,457,0.687500
-0.445953,-14613,0.013936,456,457,0.656250
-0.445923,-14612,0.013935,456,457,0.625000
-0.445892,-14611,0.013934,456,457,0.593750
-0.445862,-14610,0.013933,456,457,0.562500
-0.445831,-14609,0.013932,456,457,0.531250
-0.445801,-14608,0.013931,456,457,0.500000
-0.445770,-14607,0.013930,456,456,0.468750
-0.445740,-14606,0.013929,456,456,0.437500
-0.445709,-14605,0.013928,456,456,0.406250
-0.445679,-14604,0.013927,456,456,0.375000
-0.445648,-14603,0.013927,456,456,0.343750
-0.445618,-14602,0.013926,456,456,0.312500
-0.445587,-14601,0.013925,456,456,0.281250
-0.445557,-14600,0.013924,456,456,0.250000
-0.445526,-14599,0.013923,456,456,0.218750
-0.445496,-14598,0.013922,456,456,0.187500
-0.445465,-14597,0.013921,456,456,0.156250
-0.445435,-14596,0.013920,456,456,0.125000
-0.445404,-14595,0.013919,456,456,0.093750
-0.445374,-14594,0.013918,456,456,0.062500
-0.445343,-14593,0.013917,456,456,0.031250
-0.445313,-14592,0.013916,456,456,0.000000
-0.445282,-14591,0.013915,455,456,0.968750
-0.445251,-14590,0.013914,455,456,0.937500
-0.445221,-14589,0.013913,455,456,0.906250
-0.445190,-14588,0.013912,455,456,0.875000
-0.445160,-14587,0.013911,455,456,0.843750
-0.445129,-14586,0.013910,455,456,0.812500
-0.445099,-14585,0.013909,455,456,0.781250
-0.445068,-14584,0.013908,455,456,0.750000
-0.445038,-14583,0.013907,455,456,0.718750
-0.445007,-14582,0.013906,455,456,0.687500
-0.444977,-14581,0.013906,455,456,0.656250
-0.444946,-14580,0.013905,455,456,0.625000
-0.444916,-14579,0.013904,455,456,0.593750
-0.444885,-14578,0.013903,455,456,0.562500
-0.444855,-14577,0.013902,455,456,0.531250
-0.444824,-14576,0.013901,455,456,0.500000
-0.444794,-14575,0.013900,455,455,0.468750
-0.444763,-14574,0.013899,455,455,0.437500
-0.444733,-14573,0.013898,455,455,0.406250
-0.444702,-14572,0.013897,455,455,0.375000
-0.444672,-14571,0.013896,455,455,0.343750
-0.444641,-14570,0.013895,455,455,0.312500
-0.444611,-14569,0.013894,455,455,0.281250
-0.444580,-14568,0.013893,455,455,0.250000
-0.444550,-14567,0.013892,455,455,0.218750
-0.444519,-14566,0.013891,455,455,0.187500
-0.444489,-14565,0.013890,455,455,0.156250
-0.444458,-14564,0.013889,455,455,0.125000
-0.444427,-14563,0.013888,455,455,0.093750
-0.444397,-14562,0.013887,455,455,0.062500
-0.444366,-14561,0.013886,455,455,0.031250
-0.444336,-14560,0.013885,455,455,0.000000
-0.444305,-14559,0.013885,454,455,0.968750
-0.444275,-14558,0.013884,454,455,0.937500
-0.444244,-14557,0.013883,454,455,0.906250
-0.444214,-14556,0.013882,454,455,0.875000
-0.444183,-14555,0.013881,454,455,0.843750
-0.444153,-14554,0.013880,454,455,0.812500
-0.444122,-14553,0.013879,454,455,0.781250
-0.444092,-14552,0.013878,454,455,0.750000
-0.444061,-14551,0.013877,454,455,0.718750
-0.444031,-14550,0.013876,454,455,0.687500
-0.444000,-14549,0.013875,454,455,0.656250
-0.443970,-14548,0.013874,454,455,0.625000
-0.443939,-14547,0.013873,454,455,0.593750
-0.443909,-14546,0.013872,454,455,0.562500
-0.443878,-14545,0.013871,454,455,0.531250
-0.443848,-14544,0.013870,454,455,0.500000
-0.443817,-14543,0.013869,454,454,0.468750
-0.443787,-14542,0.013868,454,454,0.437500
-0.443756,-14541,0.013867,454,454,0.406250
-0.443726,-14540,0.013866,454,454,0.375000
-0.443695,-14539,0.013865,454,454,0.343750
-0.443665,-14538,0.013865,454,454,0.312500
-0.443634,-14537,0.013864,454,454,0.281250
-0.443604,-14536,0.013863,454,454,0.250000
-0.443573,-14535,0.013862,454,454,0.218750
-0.443542,-14534,0.013861,454,454,0.187500
-0.443512,-14533,0.013860,454,454,0.156250
-0.443481,-14532,0.013859,454,454,0.125000
-0.443451,-14531,0.013858,454,454,0.093750
-0.443420,-14530,0.013857,454,454,0.062500
-0.443390,-14529,0.013856,454,454,0.031250
-0.443359,-14528,0.013855,454,454,0.000000
-0.443329,-14527,0.013854,453,454,0.968750
-0.443298,-14526,0.013853,453,454,0.937500
-0.443268,-14525,0.013852,453,454,0.906250
-0.443237,-14524,0.013851,453,454,0.875000
-0.443207,-14523,0.013850,453,454,0.843750
-0.443176,-14522,0.013849,453,454,0.812500
-0.443146,-14521,0.013848,453,454,0.781250
-0.443115,-14520,0.013847,453,454,0.750000
-0.443085,-14519,0.013846,453,454,0.718750
-0.443054,-14518,0.013845,453,454,0.687500
-0.443024,-14517,0.013844,453,454,0.656250
-0.442993,-14516,0.013844,453,454,0.625000
-0.442963,-14515,0.013843,453,454,0.593750
-0.442932,-14514,0.013842,453,454,0.562500
-0.442902,-14513,0.013841,453,454,0.531250
-0.442871,-14512,0.013840,453,454,0.500000
-0.442841,-14511,0.013839,453,453,0.468750
-0.442810,-14510,0.013838,453,453,0.437500
-0.442780,-14509,0.013837,453,453,0.406250
-0.442749,-14508,0.013836,453,453,0.375000
-0.442719,-14507,0.013835,453,453,0.343750
-0.442688,-14506,0.013834,453,453,0.312500
-0.442657,-14505,0.013833,453,453,0.281250
-0.442627,-14504,0.013832,453,453,0.250000
-0.442596,-14503,0.013831,453,453,0.218750
-0.442566,-14502,0.013830,453,453,0.187500
-0.442535,-14501,0.013829,453,453,0.156250
-0.442505,-14500,0.013828,453,453,0.125000
-0.442474,-14499,0.013827,453,453,0.093750
-0.442444,-14498,0.013826,453,453,0.062500
-0.442413,-14497,0.013825,453,453,0.031250
-0.442383,-14496,0.013824,453,453,0.000000
-0.442352,-14495,0.013824,452,453,0.968750
-0.442322,-14494,0.013823,452,453,0.937500
-0.442291,-14493,0.013822,452,453,0.906250
-0.442261,-14492,0.013821,452,453,0.875000
-0.442230,-14491,0.013820,452,453,0.843750
-0.442200,-14490,0.013819,452,453,0.812500
-0.442169,-14489,0.013818,452,453,0.781250
-0.442139,-14488,0.013817,452,453,0.750000
-0.442108,-14487,0.013816,452,453,0.718750
-0.442078,-14486,0.013815,452,453,0.687500
-0.442047,-14485,0.013814,452,453,0.656250
-0.442017,-14484,0.013813,452,453,0.625000
-0.441986,-14483,0.013812,452,453,0.593750
-0.441956,-14482,0.013811,452,453,0.562500
-0.441925,-14481,0.013810,452,453,0.531250
-0.441895,-14480,0.013809,452,453,0.500000
-0.441864,-14479,0.013808,452,452,0.468750
-0.441833,-14478,0.013807,452,452,0.437500
-0.441803,-14477,0.013806,452,452,0.406250
-0.441772,-14476,0.013805,452,452,0.375000
-0.441742,-14475,0.013804,452,452,0.343750
-0.441711,-14474,0.013803,452,452,0.312500
-0.441681,-14473,0.013803,452,452,0.281250
-0.441650,-14472,0.013802,452,452,0.250000
-0.441620,-14471,0.013801,452,452,0.218750
-0.441589,-14470,0.013800,452,452,0.187500
-0.441559,-14469,0.013799,452,452,0.156250
-0.441528,-14468,0.013798,452,452,0.125000
-0.441498,-14467,0.013797,452,452,0.093750
-0.441467,-14466,0.013796,452,452,0.062500
-0.441437,-14465,0.013795,452,452,0.031250
-0.441406,-14464,0.013794,452,452,0.000000
-0.441376,-14463,0.013793,451,452,0.968750
-0.441345,-14462,0.013792,451,452,0.937500
-0.441315,-14461,0.013791,451,452,0.906250
-0.441284,-14460,0.013790,451,452,0.875000
-0.441254,-14459,0.013789,451,452,0.843750
-0.441223,-14458,0.013788,451,452,0.812500
-0.441193,-14457,0.013787,451,452,0.781250
-0.441162,-14456,0.013786,451,452,0.750000
-0.441132,-14455,0.013785,451,452,0.718750
-0.441101,-14454,0.013784,451,452,0.687500
-0.441071,-14453,0.013783,451,452,0.656250
-0.441040,-14452,0.013783,451,452,0.625000
-0.441010,-14451,0.013782,451,452,0.593750
-0.440979,-14450,0.013781,451,452,0.562500
-0.440948,-14449,0.013780,451,452,0.531250
-0.440918,-14448,0.013779,451,452,0.500000
-0.440887,-14447,0.013778,451,451,0.468750
-0.440857,-14446,0.013777,451,451,0.437500
-0.440826,-14445,0.013776,451,451,0.406250
-0.440796,-14444,0.013775,451,451,0.375000
-0.440765,-14443,0.013774,451,451,0.343750
-0.440735,-14442,0.013773,451,451,0.312500
-0.440704,-14441,0.013772,451,451,0.281250
-0.440674,-14440,0.013771,451,451,0.250000
-0.440643,-14439,0.013770,451,451,0.218750
-0.440613,-14438,0.013769,451,451,0.187500
-0.440582,-14437,0.013768,451,451,0.156250
-0.440552,-14436,0.013767,451,451,0.125000
-0.440521,-14435,0.013766,451,451,0.093750
-0.440491,-14434,0.013765,451,451,0.062500
-0.440460,-14433,0.013764,451,451,0.031250
-0.440430,-14432,0.013763,451,451,0.000000
-0.440399,-14431,0.013762,450,451,0.968750
-0.440369,-14430,0.013762,450,451,0.937500
-0.440338,-14429,0.013761,450,451,0.906250
-0.440308,-14428,0.013760,450,451,0.875000
-0.440277,-14427,0.013759,450,451,0.843750
-0.440247,-14426,0.013758,450,451,0.812500
-0.440216,-14425,0.013757,450,451,0.781250
-0.440186,-14424,0.013756,450,451,0.750000
-0.440155,-14423,0.013755,450,451,0.718750
-0.440125,-14422,0.013754,450,451,0.687500
-0.440094,-14421,0.013753,450,451,0.656250
-0.440063,-14420,0.013752,450,451,0.625000
-0.440033,-14419,0.013751,450,451,0.593750
-0.440002,-14418,0.013750,450,451,0.562500
-0.439972,-14417,0.013749,450,451,0.531250
-0.439941,-14416,0.013748,450,451,0.500000
-0.439911,-14415,0.013747,450,450,0.468750
-0.439880,-14414,0.013746,450,450,0.437500
-0.439850,-14413,0.013745,450,450,0.406250
